hybrid_rouge1,hybrid_bertscore,hybrid_meteor,extractive_rouge1,extractive_bertscore,extractive_meteor,abstractive_rouge1,abstractive_bertscore,abstractive_meteor,method_used
0.3139013452914798,0.5834753513336182,0.2479938365519853,0.2914285714285714,0.5855359435081482,0.28546712802768165,0.3434343434343434,0.5948314666748047,0.2574274186722343,hybrid
0.3651226158038148,0.6096062064170837,0.2958923665963464,0.3651226158038148,0.6096062064170837,0.2958923665963464,0.27979274611398963,0.5656080842018127,0.18005715184563761,extractive
0.44976076555023925,0.6570912003517151,0.31765288928536034,0.38144329896907214,0.6896454095840454,0.41269829864338375,0.42727272727272725,0.6501373648643494,0.3148442872580804,hybrid
0.6199999999999999,0.666871190071106,0.3374442043880713,0.49230769230769234,0.6849802136421204,0.41227947050631536,0.5111111111111111,0.6426206827163696,0.2809881750858966,abstractive
0.34893617021276596,0.5933958292007446,0.24346968539481909,0.37037037037037035,0.5897611379623413,0.35603716574048544,0.4833333333333334,0.6422577500343323,0.3780466836009858,hybrid
0.5166240409207161,0.641617476940155,0.39894031343005953,0.5166240409207161,0.641617476940155,0.39894031343005953,0.3253588516746411,0.6355006694793701,0.1658237655612512,extractive
0.4119601328903654,0.5647026896476746,0.26129032258064516,0.4119601328903654,0.5647026896476746,0.26129032258064516,0.3629032258064516,0.5858983993530273,0.23443402661182,extractive
0.3827160493827161,0.5923588275909424,0.3829051905729744,0.3827160493827161,0.5923588275909424,0.3829051905729744,0.4740740740740741,0.6630551218986511,0.2395368027324495,extractive
0.3279742765273312,0.5810341835021973,0.3118205069082871,0.3279742765273312,0.5810341835021973,0.3118205069082871,0.39999999999999997,0.6361333727836609,0.2579946012340037,extractive
0.47179487179487173,0.6583593487739563,0.40026476394328436,0.3209876543209877,0.6184081435203552,0.2949487627340308,0.41284403669724773,0.6122732162475586,0.39563989809378713,abstractive
0.2915451895043732,0.5667678117752075,0.2565114443567482,0.2915451895043732,0.5667678117752075,0.2565114443567482,0.425531914893617,0.6491695642471313,0.25110912940947394,extractive
0.507177033492823,0.6512135863304138,0.3155522370087843,0.5346534653465347,0.6610132455825806,0.4341797810806115,0.5774058577405857,0.6479430794715881,0.4022313614926325,hybrid
